competition_gender,competition_id,competition_international,competition_name,competition_youth,country_name,match_available,match_available_360,match_updated,match_updated_360,n_matches_in_file,season_id,season_name,matches_source_relative_path
male,9,False,1. Bundesliga,False,Germany,2024-09-28T20:46:38.893391,2025-11-15T23:17:41.827093,2024-09-28T20:46:38.893391,2025-11-15T23:17:41.827093,34,281,2023/2024,data/matches/9/281.json
male,9,False,1. Bundesliga,False,Germany,2024-05-19T11:11:14.192381,,2024-05-19T11:11:14.192381,,34,27,2015/2016,data/matches/9/27.json
male,1267,True,African Cup of Nations,False,Africa,2026-05-12T21:18:08.827431,2026-05-02T02:07:18.902396,2026-05-12T21:18:08.827431,2026-05-02T02:07:18.902396,52,107,2023,data/matches/1267/107.json
male,16,False,Champions League,False,Europe,2026-05-15T15:54:04.598614,,2026-05-15T15:54:04.598614,2021-06-13T16:17:31.694,1,4,2018/2019,data/matches/16/4.json
male,16,False,Champions League,False,Europe,2024-02-13T02:35:28.134882,,2024-02-13T02:35:28.134882,2021-06-13T16:17:31.694,1,1,2017/2018,data/matches/16/1.json
male,16,False,Champions League,False,Europe,2024-02-13T02:37:32.205154,,2024-02-13T02:37:32.205154,2021-06-13T16:17:31.694,1,2,2016/2017,data/matches/16/2.json
male,16,False,Champions League,False,Europe,2024-06-12T07:45:38.786894,,2024-06-12T07:45:38.786894,2021-06-13T16:17:31.694,1,27,2015/2016,data/matches/16/27.json
male,16,False,Champions League,False,Europe,2024-02-12T12:49:54.914228,,2024-02-12T12:49:54.914228,2021-06-13T16:17:31.694,1,26,2014/2015,data/matches/16/26.json
male,16,False,Champions League,False,Europe,2024-02-12T12:48:48.479157,,2024-02-12T12:48:48.479157,2021-06-13T16:17:31.694,1,25,2013/2014,data/matches/16/25.json
male,16,False,Champions League,False,Europe,2024-02-12T12:47:34.340413,,2024-02-12T12:47:34.340413,2021-06-13T16:17:31.694,1,24,2012/2013,data/matches/16/24.json
male,16,False,Champions League,False,Europe,2024-02-13T02:36:35.698340,,2024-02-13T02:36:35.698340,2021-06-13T16:17:31.694,1,23,2011/2012,data/matches/16/23.json
male,16,False,Champions League,False,Europe,2024-02-12T12:53:03.944320,,2024-02-12T12:53:03.944320,2021-06-13T16:17:31.694,1,22,2010/2011,data/matches/16/22.json
male,16,False,Champions League,False,Europe,2024-02-12T12:49:25.017694,,2024-02-12T12:49:25.017694,2021-06-13T16:17:31.694,1,21,2009/2010,data/matches/16/21.json
male,16,False,Champions League,False,Europe,2024-02-13T07:02:54.657056,,2024-02-13T07:02:54.657056,2021-06-13T16:17:31.694,1,41,2008/2009,data/matches/16/41.json
male,16,False,Champions League,False,Europe,2024-02-12T13:48:23.967222,,2024-02-12T13:48:23.967222,2021-06-13T16:17:31.694,1,39,2006/2007,data/matches/16/39.json
male,16,False,Champions League,False,Europe,2025-06-24T09:44:09.039471,,2025-06-24T09:44:09.039471,2021-06-13T16:17:31.694,1,37,2004/2005,data/matches/16/37.json
male,16,False,Champions League,False,Europe,2025-06-24T13:57:37.321382,,2025-06-24T13:57:37.321382,2021-06-13T16:17:31.694,1,44,2003/2004,data/matches/16/44.json
male,223,True,Copa America,False,South America,2026-05-13T12:24:48.807600,,2026-05-13T12:24:48.807600,,32,282,2024,data/matches/223/282.json
female,37,False,FA Women's Super League,False,England,2026-04-11T13:05:10.794831,,2026-04-11T13:05:10.794831,,132,281,2023/2024,data/matches/37/281.json
female,37,False,FA Women's Super League,False,England,2026-04-12T16:33:48.145602,,2026-04-12T16:33:48.145602,2021-06-13T16:17:31.694,131,90,2020/2021,data/matches/37/90.json
female,37,False,FA Women's Super League,False,England,2026-04-12T16:07:56.102610,,2026-04-12T16:07:56.102610,2021-06-13T16:17:31.694,87,42,2019/2020,data/matches/37/42.json
female,37,False,FA Women's Super League,False,England,2026-03-28T18:13:53.368475,,2026-03-28T18:13:53.368475,2021-06-13T16:17:31.694,107,4,2018/2019,data/matches/37/4.json
male,43,True,FIFA World Cup,False,International,2026-05-04T01:48:57.914346,2026-05-04T01:53:40.309717,2026-05-04T01:48:57.914346,2026-05-04T01:53:40.309717,64,106,2022,data/matches/43/106.json
male,43,True,FIFA World Cup,False,International,2026-05-15T15:48:12.789440,,2026-05-15T15:48:12.789440,2021-06-13T16:17:31.694,64,3,2018,data/matches/43/3.json
female,135,False,Frauen Bundesliga,False,Germany,2026-04-11T13:05:50.947635,,2026-04-11T13:05:50.947635,,132,281,2023/2024,data/matches/135/281.json
male,1238,False,Indian Super league,False,India,2026-04-06T18:33:57.872951,,2026-04-06T18:33:57.872951,,115,108,2021/2022,data/matches/1238/108.json
male,11,False,La Liga,False,Spain,2025-11-02T03:55:19.577958,2025-11-02T03:55:53.923193,2025-11-02T03:55:19.577958,2025-11-02T03:55:53.923193,35,90,2020/2021,data/matches/11/90.json
male,11,False,La Liga,False,Spain,2024-12-16T16:51:06.833054,,2024-12-16T16:51:06.833054,2021-06-13T16:17:31.694,33,42,2019/2020,data/matches/11/42.json
male,11,False,La Liga,False,Spain,2026-04-06T04:49:09.959011,,2026-04-06T04:49:09.959011,2021-07-09T14:53:22.103024,34,4,2018/2019,data/matches/11/4.json
male,11,False,La Liga,False,Spain,2025-07-14T10:01:16.674864,,2025-07-14T10:01:16.674864,2021-06-13T16:17:31.694,36,1,2017/2018,data/matches/11/1.json
male,11,False,La Liga,False,Spain,2025-03-09T16:03:54.962718,,2025-03-09T16:03:54.962718,2021-06-13T16:17:31.694,34,2,2016/2017,data/matches/11/2.json
male,11,False,La Liga,False,Spain,2025-04-23T13:59:22.835792,,2025-04-23T13:59:22.835792,2021-06-13T16:17:31.694,380,27,2015/2016,data/matches/11/27.json
male,11,False,La Liga,False,Spain,2025-06-24T13:39:01.068680,,2025-06-24T13:39:01.068680,2021-06-13T16:17:31.694,38,26,2014/2015,data/matches/11/26.json
male,11,False,La Liga,False,Spain,2025-06-24T09:52:44.048585,,2025-06-24T09:52:44.048585,2021-06-13T16:17:31.694,31,25,2013/2014,data/matches/11/25.json
male,11,False,La Liga,False,Spain,2025-06-24T13:53:14.047130,,2025-06-24T13:53:14.047130,2021-06-13T16:17:31.694,32,24,2012/2013,data/matches/11/24.json
male,11,False,La Liga,False,Spain,2025-06-24T13:38:10.764259,,2025-06-24T13:38:10.764259,2021-06-13T16:17:31.694,37,23,2011/2012,data/matches/11/23.json
male,11,False,La Liga,False,Spain,2025-06-24T13:51:54.910296,,2025-06-24T13:51:54.910296,2021-06-13T16:17:31.694,33,22,2010/2011,data/matches/11/22.json
male,11,False,La Liga,False,Spain,2025-06-24T13:43:36.379754,,2025-06-24T13:43:36.379754,2021-06-13T16:17:31.694,35,21,2009/2010,data/matches/11/21.json
male,11,False,La Liga,False,Spain,2025-09-08T13:42:24.627088,,2025-09-08T13:42:24.627088,2021-06-13T16:17:31.694,31,41,2008/2009,data/matches/11/41.json
male,11,False,La Liga,False,Spain,2025-08-15T14:05:12.751913,,2026-05-26T13:35:19.781918,2021-06-13T16:17:31.694,27,40,2007/2008,data/matches/11/40.json
male,11,False,La Liga,False,Spain,2025-06-24T13:52:50.824119,,2025-06-24T13:52:50.824119,2021-06-13T16:17:31.694,26,39,2006/2007,data/matches/11/39.json
male,11,False,La Liga,False,Spain,2025-06-24T14:05:07.849675,,2025-06-24T14:05:07.849675,2021-06-13T16:17:31.694,17,38,2005/2006,data/matches/11/38.json
male,11,False,La Liga,False,Spain,2025-06-24T13:48:43.998096,,2025-06-24T13:48:43.998096,2021-06-13T16:17:31.694,7,37,2004/2005,data/matches/11/37.json
female,182,False,Liga F,False,Spain,2026-04-11T15:32:55.463202,,2026-04-11T15:32:55.463202,,240,281,2023/2024,data/matches/182/281.json
male,7,False,Ligue 1,False,France,2026-04-06T18:51:07.770289,2026-04-06T18:59:05.942748,2026-04-06T18:51:07.770289,2026-04-06T18:59:05.942748,32,235,2022/2023,data/matches/7/235.json
male,7,False,Ligue 1,False,France,2026-04-25T22:22:46.370056,2026-04-25T22:24:04.840827,2026-04-25T22:22:46.370056,2026-04-25T22:24:04.840827,26,108,2021/2022,data/matches/7/108.json
male,7,False,Ligue 1,False,France,2026-05-12T22:46:54.722768,,2026-05-12T22:46:54.722768,,377,27,2015/2016,data/matches/7/27.json
male,44,False,Major League Soccer,False,United States of America,2026-02-05T12:10:54.420133,2026-02-05T12:11:58.293463,2026-02-05T12:10:54.420133,2026-02-05T12:11:58.293463,6,107,2023,data/matches/44/107.json
female,49,False,NWSL,False,United States of America,2026-04-08T09:41:46.347347,,2026-04-08T09:41:46.347347,,137,107,2023,data/matches/49/107.json
female,49,False,NWSL,False,United States of America,2024-12-15T12:31:48.035735,,2024-12-15T12:31:48.035735,2021-06-13T16:17:31.694,36,3,2018,data/matches/49/3.json
male,2,False,Premier League,False,England,2025-12-17T14:38:00.447595,,2025-12-17T14:38:00.447595,2021-06-13T16:17:31.694,380,27,2015/2016,data/matches/2/27.json
male,2,False,Premier League,False,England,2025-06-24T13:53:07.585114,,2025-06-24T13:53:07.585114,2021-06-13T16:17:31.694,38,44,2003/2004,data/matches/2/44.json
male,12,False,Serie A,False,Italy,2025-08-15T14:28:50.169562,,2025-08-15T14:28:50.169562,,380,27,2015/2016,data/matches/12/27.json
female,131,False,Serie A Women,False,Italy,2026-04-11T13:29:49.465639,,2026-04-11T13:29:49.465639,,130,281,2023/2024,data/matches/131/281.json
