match_id,primary_passes,primary_successes,primary_failures,strict_passes,strict_successes,strict_failures,competition_gender,competition_name,season_name,match_date,primary_failure_rate,strict_failure_rate
3890260,671,445,226,304,214,90,male,1. Bundesliga,2015/2016,2015-08-15,0.33681073025335323,0.29605263157894735
3890273,801,584,217,412,328,84,male,1. Bundesliga,2015/2016,2015-08-22,0.27091136079900124,0.20388349514563106
3890278,801,647,154,413,344,69,male,1. Bundesliga,2015/2016,2015-08-29,0.19225967540574282,0.16707021791767554
3890288,762,550,212,401,303,98,male,1. Bundesliga,2015/2016,2015-09-12,0.2782152230971129,0.24438902743142144
3890301,899,665,234,455,360,95,male,1. Bundesliga,2015/2016,2015-09-20,0.26028921023359286,0.2087912087912088
3890312,843,606,237,324,251,73,male,1. Bundesliga,2015/2016,2015-09-23,0.28113879003558717,0.22530864197530864
3890315,779,527,252,324,230,94,male,1. Bundesliga,2015/2016,2015-09-26,0.32349165596919127,0.29012345679012347
3890330,869,632,237,492,375,117,male,1. Bundesliga,2015/2016,2015-10-04,0.2727272727272727,0.23780487804878048
3890337,779,516,263,355,246,109,male,1. Bundesliga,2015/2016,2015-10-17,0.337612323491656,0.30704225352112674
3890346,746,480,266,389,270,119,male,1. Bundesliga,2015/2016,2015-10-24,0.35656836461126007,0.3059125964010283
3890350,836,620,216,465,366,99,male,1. Bundesliga,2015/2016,2015-10-31,0.2583732057416268,0.2129032258064516
3890359,698,511,187,371,289,82,male,1. Bundesliga,2015/2016,2015-11-07,0.2679083094555874,0.2210242587601078
3890370,763,574,189,355,275,80,male,1. Bundesliga,2015/2016,2015-11-21,0.24770642201834864,0.22535211267605634
3890382,844,639,205,497,392,105,male,1. Bundesliga,2015/2016,2015-11-29,0.24289099526066352,0.2112676056338028
3890390,994,783,211,526,447,79,male,1. Bundesliga,2015/2016,2015-12-05,0.21227364185110664,0.15019011406844107
3890395,826,608,218,409,319,90,male,1. Bundesliga,2015/2016,2015-12-12,0.2639225181598063,0.2200488997555012
3890409,673,421,252,279,185,94,male,1. Bundesliga,2015/2016,2015-12-19,0.37444279346210996,0.33691756272401435
3890415,853,607,246,443,333,110,male,1. Bundesliga,2015/2016,2016-01-23,0.28839390386869873,0.24830699774266365
3890427,750,533,217,325,252,73,male,1. Bundesliga,2015/2016,2016-01-30,0.28933333333333333,0.2246153846153846
3890431,738,536,202,343,257,86,male,1. Bundesliga,2015/2016,2016-02-06,0.27371273712737126,0.25072886297376096
3890444,579,344,235,248,179,69,male,1. Bundesliga,2015/2016,2016-02-13,0.4058721934369603,0.2782258064516129
3890456,782,571,211,335,245,90,male,1. Bundesliga,2015/2016,2016-02-21,0.26982097186700765,0.26865671641791045
3890463,738,501,237,344,263,81,male,1. Bundesliga,2015/2016,2016-02-28,0.32113821138211385,0.23546511627906977
3890472,773,558,215,471,356,115,male,1. Bundesliga,2015/2016,2016-03-02,0.278137128072445,0.24416135881104034
3890477,965,726,239,499,398,101,male,1. Bundesliga,2015/2016,2016-03-05,0.24766839378238342,0.20240480961923848
3890492,666,420,246,321,230,91,male,1. Bundesliga,2015/2016,2016-03-13,0.36936936936936937,0.2834890965732087
3890500,789,554,235,395,298,97,male,1. Bundesliga,2015/2016,2016-03-20,0.29784537389100124,0.24556962025316456
3890502,843,640,203,426,335,91,male,1. Bundesliga,2015/2016,2016-04-01,0.24080664294187426,0.2136150234741784
