match_id,split,stable_hash,stratum,competition_gender,time_band,match_year,match_date,competition_name,season_name,primary_passes,primary_successes,primary_failures,primary_failure_rate,strict_passes,strict_successes,strict_failures,strict_failure_rate
3749434,calibration,e0b22a8efa6c5575c699b77c0198d86b78ed3240480cb187e82ff42e06760f48,male|T0,male,0,2003,2003-11-22,Premier League,2003/2004,845,611,234,0.2769230769230769,470,355,115,0.2446808510638297
3749310,calibration,d2b1c50f3e0c4b6e31adc6c520508dd20d0c4c341ea9d2194867f21a318e43cf,male|T0,male,0,2003,2003-12-29,Premier League,2003/2004,832,622,210,0.2524038461538461,417,333,84,0.2014388489208633
68353,calibration,cb2abcd6909552d9897ff19fd6f01efd4057f24145fd6045c095db59fb10e6d6,male|T0,male,0,2004,2004-10-16,La Liga,2004/2005,658,481,177,0.2689969604863222,282,229,53,0.1879432624113475
68352,calibration,d7fe13e568acc22211be0b8a72c2c7b47fde6e822cfe85b9aeb380c88e9226a5,male|T0,male,0,2005,2005-04-17,La Liga,2004/2005,883,719,164,0.1857304643261608,478,404,74,0.1548117154811715
68321,calibration,dd9c144e7edb034f87b90c74ea9b2b3bec8f9b0c71e57074090fa2edfb4757e3,male|T0,male,0,2005,2005-12-11,La Liga,2005/2006,889,702,187,0.2103487064116985,432,361,71,0.1643518518518518
3750200,calibration,da022cf527482e51af39ae752a4a78f0645c18e7f59eb2ce417e3fc0b99be090,male|T0,male,0,2007,2007-05-23,Champions League,2006/2007,734,527,207,0.2820163487738419,346,269,77,0.222543352601156
69169,calibration,d692a2b7faff149d2f4fec9f21f04e41d5a2b001392035d911dea04cc96530ce,male|T0,male,0,2007,2007-09-02,La Liga,2007/2008,960,828,132,0.1375,492,439,53,0.1077235772357723
69148,calibration,da922419ebae158ec272d496439a2a465461ff210124a922d0e15dfd168e3749,male|T0,male,0,2007,2007-09-22,La Liga,2007/2008,795,626,169,0.2125786163522012,381,316,65,0.1706036745406824
69181,calibration,d3bee28e5207fe9300c2e9b08996a2f5e025b3cfd7711ca6127b9964d9f3fd90,male|T0,male,0,2008,2008-01-27,La Liga,2007/2008,916,737,179,0.195414847161572,500,423,77,0.154
69138,calibration,dbed19fecd9a46081ef773ba19c3cdbceceae103bd1c044a681a6f24545c89f9,male|T0,male,0,2008,2008-09-21,La Liga,2008/2009,854,700,154,0.180327868852459,430,369,61,0.141860465116279
69212,calibration,dc008a1c9f6367d951e984730c5a228394ebb68d3a8cd6d1f470d4aa255ead2f,male|T0,male,0,2008,2008-10-04,La Liga,2008/2009,924,777,147,0.1590909090909091,494,431,63,0.1275303643724696
